"Estado","a�o","sexo","cortes.edad","numerocasos"
"Colima","2007","M","1-4",257
"Chiapas","2007","M","1-4",12
"Chihuahua","2007","M","1-4",28
"Distrito Federal","2007","M","1-4",19
"Durango","2007","M","1-4",257
"Guanajuato","2007","M","1-4",1227
"Guerrero","2007","M","1-4",1989
"Hidalgo","2007","M","1-4",4
"Jalisco","2007","M","1-4",2271
"México","2007","M","1-4",412
"Michoacán","2007","M","1-4",1405
"Morelos","2007","M","1-4",1508
"Nayarit","2007","M","1-4",603
"Nuevo León","2007","M","1-4",7
"Oaxaca","2007","M","1-4",255
"Puebla","2007","M","1-4",607
"Querétaro","2007","M","1-4",158
"Quintana Roo","2007","M","1-4",7
"San Luis Potosí","2007","M","1-4",10
"Sinaloa","2007","M","1-4",311
"Sonora","2007","M","1-4",354
"Tabasco","2007","M","1-4",3
"Tamaulipas","2007","M","1-4",14
"Tlaxcala","2007","M","1-4",1
"Veracruz","2007","M","1-4",26
"Yucatán","2007","M","1-4",3
"Zacatecas","2007","M","1-4",169
"Aguascalientes","2007","M","5-9",126
"Baja California","2007","M","5-9",5
"Baja California Sur","2007","M","5-9",9
"Campeche","2007","M","5-9",2
"Coahuila","2007","M","5-9",9
"Colima","2007","M","5-9",392
"Chiapas","2007","M","5-9",9
"Chihuahua","2007","M","5-9",31
"Distrito Federal","2007","M","5-9",24
"Durango","2007","M","5-9",348
"Guanajuato","2007","M","5-9",1773
"Guerrero","2007","M","5-9",2572
"Hidalgo","2007","M","5-9",15
"Jalisco","2007","M","5-9",3248
"México","2007","M","5-9",499
"Michoacán","2007","M","5-9",1785
"Morelos","2007","M","5-9",1923
"Nayarit","2007","M","5-9",816
"Nuevo León","2007","M","5-9",15
"Oaxaca","2007","M","5-9",292
"Puebla","2007","M","5-9",805
"Querétaro","2007","M","5-9",179
"Quintana Roo","2007","M","5-9",8
"San Luis Potosí","2007","M","5-9",20
"Sinaloa","2007","M","5-9",387
"Sonora","2007","M","5-9",278
"Tabasco","2007","M","5-9",2
"Tamaulipas","2007","M","5-9",16
"Tlaxcala","2007","M","5-9",3
"Veracruz","2007","M","5-9",16
"Yucatán","2007","M","5-9",1
"Zacatecas","2007","M","5-9",210
"Aguascalientes","2007","M","10 - 14",148
"Baja California","2007","M","10 - 14",9
"Baja California Sur","2007","M","10 - 14",4
"Campeche","2007","M","10 - 14",1
"Coahuila","2007","M","10 - 14",9
"Colima","2007","M","10 - 14",560
"Chiapas","2007","M","10 - 14",16
"Chihuahua","2007","M","10 - 14",22
"Distrito Federal","2007","M","10 - 14",32
"Durango","2007","M","10 - 14",399
"Guanajuato","2007","M","10 - 14",2081
"Guerrero","2007","M","10 - 14",2955
"Hidalgo","2007","M","10 - 14",7
"Jalisco","2007","M","10 - 14",3624
"México","2007","M","10 - 14",507
"Michoacán","2007","M","10 - 14",2069
"Morelos","2007","M","10 - 14",2067
"Nayarit","2007","M","10 - 14",975
"Nuevo León","2007","M","10 - 14",8
"Oaxaca","2007","M","10 - 14",347
"Puebla","2007","M","10 - 14",1036
"Querétaro","2007","M","10 - 14",174
"Quintana Roo","2007","M","10 - 14",3
"San Luis Potosí","2007","M","10 - 14",14
"Sinaloa","2007","M","10 - 14",465
"Sonora","2007","M","10 - 14",258
"Tabasco","2007","M","10 - 14",1
"Tamaulipas","2007","M","10 - 14",12
"Tlaxcala","2007","M","10 - 14",1
"Veracruz","2007","M","10 - 14",12
"Yucatán","2007","M","10 - 14",5
"Zacatecas","2007","M","10 - 14",253
"Aguascalientes","2007","M","15 - 19",128
"Baja California","2007","M","15 - 19",11
"Baja California Sur","2007","M","15 - 19",5
"Campeche","2007","M","15 - 19",2
"Coahuila","2007","M","15 - 19",10
"Colima","2007","M","15 - 19",669
"Chiapas","2007","M","15 - 19",19
"Chihuahua","2007","M","15 - 19",14
"Distrito Federal","2007","M","15 - 19",26
"Durango","2007","M","15 - 19",399
"Guanajuato","2007","M","15 - 19",1904
"Guerrero","2007","M","15 - 19",2252
"Hidalgo","2007","M","15 - 19",6
"Jalisco","2007","M","15 - 19",3438
"México","2007","M","15 - 19",404
"Michoacán","2007","M","15 - 19",1777
"Morelos","2007","M","15 - 19",1978
"Nayarit","2007","M","15 - 19",1063
"Nuevo León","2007","M","15 - 19",9
"Oaxaca","2007","M","15 - 19",256
"Puebla","2007","M","15 - 19",880
"Querétaro","2007","M","15 - 19",214
"Quintana Roo","2007","M","15 - 19",5
"San Luis Potosí","2007","M","15 - 19",15
"Sinaloa","2007","M","15 - 19",422
"Sonora","2007","M","15 - 19",188
"Tabasco","2007","M","15 - 19",3
"Tamaulipas","2007","M","15 - 19",9
"Tlaxcala","2007","M","15 - 19",6
"Veracruz","2007","M","15 - 19",15
"Yucatán","2007","M","15 - 19",2
"Zacatecas","2007","M","15 - 19",209
"Aguascalientes","2007","M","20 - 24",79
"Baja California","2007","M","20 - 24",2
"Baja California Sur","2007","M","20 - 24",4
"Campeche","2007","M","20 - 24",1
"Coahuila","2007","M","20 - 24",11
"Colima","2007","M","20 - 24",600
"Chiapas","2007","M","20 - 24",12
"Chihuahua","2007","M","20 - 24",14
"Distrito Federal","2007","M","20 - 24",18
"Durango","2007","M","20 - 24",319
"Guanajuato","2007","M","20 - 24",1470
"Guerrero","2007","M","20 - 24",1497
"Hidalgo","2007","M","20 - 24",3
"Jalisco","2007","M","20 - 24",2574
"México","2007","M","20 - 24",223
"Michoacán","2007","M","20 - 24",1217
"Morelos","2007","M","20 - 24",1380
"Nayarit","2007","M","20 - 24",864
"Nuevo León","2007","M","20 - 24",4
"Oaxaca","2007","M","20 - 24",176
"Puebla","2007","M","20 - 24",591
"Querétaro","2007","M","20 - 24",151
"Quintana Roo","2007","M","20 - 24",3
"San Luis Potosí","2007","M","20 - 24",8
"Sinaloa","2007","M","20 - 24",305
"Sonora","2007","M","20 - 24",171
"Tabasco","2007","M","20 - 24",3
"Tamaulipas","2007","M","20 - 24",17
"Tlaxcala","2007","M","20 - 24",2
"Veracruz","2007","M","20 - 24",11
"Yucatán","2007","M","20 - 24",1
"Zacatecas","2007","M","20 - 24",166
"Aguascalientes","2007","M","25 - 44",192
"Baja California","2007","M","25 - 44",26
"Baja California Sur","2007","M","25 - 44",18
"Campeche","2007","M","25 - 44",6
"Coahuila","2007","M","25 - 44",19
"Colima","2007","M","25 - 44",1624
"Chiapas","2007","M","25 - 44",40
"Chihuahua","2007","M","25 - 44",46
"Distrito Federal","2007","M","25 - 44",54
"Durango","2007","M","25 - 44",813
"Guanajuato","2007","M","25 - 44",3817
"Guerrero","2007","M","25 - 44",3918
"Hidalgo","2007","M","25 - 44",10
"Jalisco","2007","M","25 - 44",6966
"México","2007","M","25 - 44",585
"Michoacán","2007","M","25 - 44",2901
"Morelos","2007","M","25 - 44",3687
"Nayarit","2007","M","25 - 44",2286
"Nuevo León","2007","M","25 - 44",24
"Oaxaca","2007","M","25 - 44",408
"Puebla","2007","M","25 - 44",1318
"Querétaro","2007","M","25 - 44",576
"Quintana Roo","2007","M","25 - 44",17
"San Luis Potosí","2007","M","25 - 44",27
"Sinaloa","2007","M","25 - 44",868
"Sonora","2007","M","25 - 44",416
"Tabasco","2007","M","25 - 44",3
"Tamaulipas","2007","M","25 - 44",44
"Tlaxcala","2007","M","25 - 44",10
"Veracruz","2007","M","25 - 44",39
"Yucatán","2007","M","25 - 44",9
"Zacatecas","2007","M","25 - 44",409
"Aguascalientes","2007","M","45 - 49",24
"Baja California","2007","M","45 - 49",2
"Baja California Sur","2007","M","45 - 49",3
"Campeche","2007","M","45 - 49",0
"Coahuila","2007","M","45 - 49",3
"Colima","2007","M","45 - 49",274
"Chiapas","2007","M","45 - 49",9
"Chihuahua","2007","M","45 - 49",6
"Distrito Federal","2007","M","45 - 49",8
"Durango","2007","M","45 - 49",150
"Guanajuato","2007","M","45 - 49",552
"Guerrero","2007","M","45 - 49",729
"Hidalgo","2007","M","45 - 49",3
"Jalisco","2007","M","45 - 49",1197
"México","2007","M","45 - 49",122
"Michoacán","2007","M","45 - 49",564
"Morelos","2007","M","45 - 49",859
"Nayarit","2007","M","45 - 49",470
"Nuevo León","2007","M","45 - 49",2
"Oaxaca","2007","M","45 - 49",93
"Puebla","2007","M","45 - 49",329
"Querétaro","2007","M","45 - 49",51
"Quintana Roo","2007","M","45 - 49",1
"San Luis Potosí","2007","M","45 - 49",5
"Sinaloa","2007","M","45 - 49",169
"Sonora","2007","M","45 - 49",87
"Tabasco","2007","M","45 - 49",0
"Tamaulipas","2007","M","45 - 49",3
"Tlaxcala","2007","M","45 - 49",1
"Veracruz","2007","M","45 - 49",8
"Yucatán","2007","M","45 - 49",2
"Zacatecas","2007","M","45 - 49",94
"Aguascalientes","2007","M","50 - 59",60
"Baja California","2007","M","50 - 59",4
"Baja California Sur","2007","M","50 - 59",4
"Campeche","2007","M","50 - 59",1
"Coahuila","2007","M","50 - 59",6
"Colima","2007","M","50 - 59",428
"Chiapas","2007","M","50 - 59",14
"Chihuahua","2007","M","50 - 59",9
"Distrito Federal","2007","M","50 - 59",11
"Durango","2007","M","50 - 59",192
"Guanajuato","2007","M","50 - 59",854
"Guerrero","2007","M","50 - 59",1172
"Hidalgo","2007","M","50 - 59",2
"Jalisco","2007","M","50 - 59",1775
"México","2007","M","50 - 59",167
"Michoacán","2007","M","50 - 59",739
"Morelos","2007","M","50 - 59",1259
"Nayarit","2007","M","50 - 59",628
"Nuevo León","2007","M","50 - 59",6
"Oaxaca","2007","M","50 - 59",157
"Puebla","2007","M","50 - 59",499
"Querétaro","2007","M","50 - 59",110
"Quintana Roo","2007","M","50 - 59",3
"San Luis Potosí","2007","M","50 - 59",14
"Sinaloa","2007","M","50 - 59",264
"Sonora","2007","M","50 - 59",101
"Tabasco","2007","M","50 - 59",2
"Tamaulipas","2007","M","50 - 59",6
"Tlaxcala","2007","M","50 - 59",1
"Veracruz","2007","M","50 - 59",18
"Yucatán","2007","M","50 - 59",0
"Zacatecas","2007","M","50 - 59",132
"Aguascalientes","2007","M","60 - 64",19
"Baja California","2007","M","60 - 64",0
"Baja California Sur","2007","M","60 - 64",2
"Campeche","2007","M","60 - 64",0
"Coahuila","2007","M","60 - 64",1
"Colima","2007","M","60 - 64",167
"Chiapas","2007","M","60 - 64",6
"Chihuahua","2007","M","60 - 64",4
"Distrito Federal","2007","M","60 - 64",0
"Durango","2007","M","60 - 64",78
"Guanajuato","2007","M","60 - 64",315
"Guerrero","2007","M","60 - 64",525
"Hidalgo","2007","M","60 - 64",2
"Jalisco","2007","M","60 - 64",779
"México","2007","M","60 - 64",67
"Michoacán","2007","M","60 - 64",315
"Morelos","2007","M","60 - 64",588
"Nayarit","2007","M","60 - 64",326
"Nuevo León","2007","M","60 - 64",2
"Oaxaca","2007","M","60 - 64",68
"Puebla","2007","M","60 - 64",229
"Querétaro","2007","M","60 - 64",42
"Quintana Roo","2007","M","60 - 64",1
"San Luis Potosí","2007","M","60 - 64",5
"Sinaloa","2007","M","60 - 64",103
"Sonora","2007","M","60 - 64",30
"Tabasco","2007","M","60 - 64",1
"Tamaulipas","2007","M","60 - 64",2
"Tlaxcala","2007","M","60 - 64",0
"Veracruz","2007","M","60 - 64",3
"Yucatán","2007","M","60 - 64",0
"Zacatecas","2007","M","60 - 64",77
"Aguascalientes","2007","M","65 y +",83
"Baja California","2007","M","65 y +",0
"Baja California Sur","2007","M","65 y +",0
"Campeche","2007","M","65 y +",0
"Coahuila","2007","M","65 y +",4
"Colima","2007","M","65 y +",337
"Chiapas","2007","M","65 y +",6
"Chihuahua","2007","M","65 y +",13
"Distrito Federal","2007","M","65 y +",9
"Durango","2007","M","65 y +",156
"Guanajuato","2007","M","65 y +",729
"Guerrero","2007","M","65 y +",1215
"Hidalgo","2007","M","65 y +",2
"Jalisco","2007","M","65 y +",1754
"México","2007","M","65 y +",155
"Michoacán","2007","M","65 y +",770
"Morelos","2007","M","65 y +",1049
"Nayarit","2007","M","65 y +",611
"Nuevo León","2007","M","65 y +",3
"Oaxaca","2007","M","65 y +",235
"Puebla","2007","M","65 y +",629
"Querétaro","2007","M","65 y +",60
"Quintana Roo","2007","M","65 y +",1
"San Luis Potosí","2007","M","65 y +",10
"Sinaloa","2007","M","65 y +",291
"Sonora","2007","M","65 y +",109
"Tabasco","2007","M","65 y +",2
"Tamaulipas","2007","M","65 y +",10
"Tlaxcala","2007","M","65 y +",1
"Veracruz","2007","M","65 y +",9
"Yucatán","2007","M","65 y +",1
"Zacatecas","2007","M","65 y +",194
"Aguascalientes","2007","M","Ign.",0
"Baja California","2007","M","Ign.",1
"Baja California Sur","2007","M","Ign.",0
"Campeche","2007","M","Ign.",0
"Coahuila","2007","M","Ign.",0
"Colima","2007","M","Ign.",9
"Chiapas","2007","M","Ign.",0
"Chihuahua","2007","M","Ign.",0
"Distrito Federal","2007","M","Ign.",0
"Durango","2007","M","Ign.",3
"Guanajuato","2007","M","Ign.",2
"Guerrero","2007","M","Ign.",8
"Hidalgo","2007","M","Ign.",0
"Jalisco","2007","M","Ign.",47
"México","2007","M","Ign.",0
"Michoacán","2007","M","Ign.",7
"Morelos","2007","M","Ign.",21
"Nayarit","2007","M","Ign.",4
"Nuevo León","2007","M","Ign.",0
"Oaxaca","2007","M","Ign.",0
"Puebla","2007","M","Ign.",2
"Querétaro","2007","M","Ign.",0
"Quintana Roo","2007","M","Ign.",0
"San Luis Potosí","2007","M","Ign.",0
"Sinaloa","2007","M","Ign.",8
"Sonora","2007","M","Ign.",1
"Tabasco","2007","M","Ign.",0
"Tamaulipas","2007","M","Ign.",0
"Tlaxcala","2007","M","Ign.",0
"Veracruz","2007","M","Ign.",0
"Yucatán","2007","M","Ign.",0
"Zacatecas","2007","M","Ign.",1
"Aguascalientes","2007","M","Total",940
"Baja California","2007","M","Total",65
"Baja California Sur","2007","M","Total",57
"Campeche","2007","M","Total",14
"Coahuila","2007","M","Total",78
"Colima","2007","M","Total",5335
"Chiapas","2007","M","Total",143
"Chihuahua","2007","M","Total",191
"Distrito Federal","2007","M","Total",202
"Durango","2007","M","Total",3151
"Guanajuato","2007","M","Total",14840
"Guerrero","2007","M","Total",19015
"Hidalgo","2007","M","Total",55
"Jalisco","2007","M","Total",27848
"México","2007","M","Total",3166
"Michoacán","2007","M","Total",13661
"Morelos","2007","M","Total",16403
"Nayarit","2007","M","Total",8716
"Nuevo León","2007","M","Total",80
"Oaxaca","2007","M","Total",2303
"Puebla","2007","M","Total",6960
"Querétaro","2007","M","Total",1739
"Quintana Roo","2007","M","Total",51
"San Luis Potosí","2007","M","Total",131
"Sinaloa","2007","M","Total",3619
"Sonora","2007","M","Total",2027
"Tabasco","2007","M","Total",20
"Tamaulipas","2007","M","Total",134
"Tlaxcala","2007","M","Total",26
"Veracruz","2007","M","Total",159
"Yucatán","2007","M","Total",24
"Zacatecas","2007","M","Total",1922
"Aguascalientes","2008","M","<1",4
"Baja California","2008","M","<1",1
"Baja California Sur","2008","M","<1",2
"Campeche","2008","M","<1",4
"Coahuila","2008","M","<1",0
"Colima","2008","M","<1",22
"Chiapas","2008","M","<1",4
"Chihuahua","2008","M","<1",6
"Distrito Federal","2008","M","<1",0
"Durango","2008","M","<1",21
"Guanajuato","2008","M","<1",104
"Guerrero","2008","M","<1",146
"Hidalgo","2008","M","<1",0
"Jalisco","2008","M","<1",184
"México","2008","M","<1",24
"Michoacán","2008","M","<1",124
"Morelos","2008","M","<1",91
"Nayarit","2008","M","<1",40
"Nuevo León","2008","M","<1",3
"Oaxaca","2008","M","<1",18
"Puebla","2008","M","<1",30
"Querétaro","2008","M","<1",24
"Quintana Roo","2008","M","<1",0
"San Luis Potosí","2008","M","<1",1
"Sinaloa","2008","M","<1",36
"Sonora","2008","M","<1",34
"Tabasco","2008","M","<1",0
"Tamaulipas","2008","M","<1",2
"Tlaxcala","2008","M","<1",0
"Veracruz","2008","M","<1",2
"Yucatán","2008","M","<1",0
"Zacatecas","2008","M","<1",12
"Aguascalientes","2008","M","1-4",78
"Baja California","2008","M","1-4",4
"Baja California Sur","2008","M","1-4",4
"Campeche","2008","M","1-4",10
"Coahuila","2008","M","1-4",7
"Colima","2008","M","1-4",320
"Chiapas","2008","M","1-4",14
"Chihuahua","2008","M","1-4",33
"Distrito Federal","2008","M","1-4",18
"Durango","2008","M","1-4",247
"Guanajuato","2008","M","1-4",1227
"Guerrero","2008","M","1-4",2010
"Hidalgo","2008","M","1-4",3
"Jalisco","2008","M","1-4",2307
"México","2008","M","1-4",518
"Michoacán","2008","M","1-4",1475
"Morelos","2008","M","1-4",1419
"Nayarit","2008","M","1-4",551
"Nuevo León","2008","M","1-4",12
"Oaxaca","2008","M","1-4",246
"Puebla","2008","M","1-4",635
"Querétaro","2008","M","1-4",167
"Quintana Roo","2008","M","1-4",3
"San Luis Potosí","2008","M","1-4",11
"Sinaloa","2008","M","1-4",332
"Sonora","2008","M","1-4",252
"Tabasco","2008","M","1-4",1
"Tamaulipas","2008","M","1-4",17
"Tlaxcala","2008","M","1-4",1
"Veracruz","2008","M","1-4",10
"Yucatán","2008","M","1-4",3
"Zacatecas","2008","M","1-4",170
"Aguascalientes","2008","M","5-9",109
"Baja California","2008","M","5-9",5
"Baja California Sur","2008","M","5-9",3
"Campeche","2008","M","5-9",6
"Coahuila","2008","M","5-9",14
"Colima","2008","M","5-9",434
"Chiapas","2008","M","5-9",12
"Chihuahua","2008","M","5-9",36
"Distrito Federal","2008","M","5-9",22
"Durango","2008","M","5-9",284
"Guanajuato","2008","M","5-9",1676
"Guerrero","2008","M","5-9",2713
"Hidalgo","2008","M","5-9",8
"Jalisco","2008","M","5-9",3069
"México","2008","M","5-9",607
"Michoacán","2008","M","5-9",1876
"Morelos","2008","M","5-9",1863
"Nayarit","2008","M","5-9",687
"Nuevo León","2008","M","5-9",8
"Oaxaca","2008","M","5-9",287
"Puebla","2008","M","5-9",892
"Querétaro","2008","M","5-9",171
"Quintana Roo","2008","M","5-9",3
"San Luis Potosí","2008","M","5-9",13
"Sinaloa","2008","M","5-9",384
"Sonora","2008","M","5-9",231
"Tabasco","2008","M","5-9",2
"Tamaulipas","2008","M","5-9",14
"Tlaxcala","2008","M","5-9",0
"Veracruz","2008","M","5-9",11
"Yucatán","2008","M","5-9",2
"Zacatecas","2008","M","5-9",182
"Aguascalientes","2008","M","10 - 14",149
"Baja California","2008","M","10 - 14",6
"Baja California Sur","2008","M","10 - 14",4
"Campeche","2008","M","10 - 14",8
"Coahuila","2008","M","10 - 14",7
"Colima","2008","M","10 - 14",585
"Chiapas","2008","M","10 - 14",18
"Chihuahua","2008","M","10 - 14",16
"Distrito Federal","2008","M","10 - 14",32
"Durango","2008","M","10 - 14",351
"Guanajuato","2008","M","10 - 14",1894
"Guerrero","2008","M","10 - 14",3010
"Hidalgo","2008","M","10 - 14",20
"Jalisco","2008","M","10 - 14",3444
"México","2008","M","10 - 14",611
"Michoacán","2008","M","10 - 14",2152
"Morelos","2008","M","10 - 14",1945
"Nayarit","2008","M","10 - 14",920
"Nuevo León","2008","M","10 - 14",3
"Oaxaca","2008","M","10 - 14",368
"Puebla","2008","M","10 - 14",971
"Querétaro","2008","M","10 - 14",229
"Quintana Roo","2008","M","10 - 14",6
"San Luis Potosí","2008","M","10 - 14",13
"Sinaloa","2008","M","10 - 14",435
"Sonora","2008","M","10 - 14",231
"Tabasco","2008","M","10 - 14",2
"Tamaulipas","2008","M","10 - 14",18
"Tlaxcala","2008","M","10 - 14",1
"Veracruz","2008","M","10 - 14",8
"Yucatán","2008","M","10 - 14",3
"Zacatecas","2008","M","10 - 14",232
"Aguascalientes","2008","M","15 - 19",144
"Baja California","2008","M","15 - 19",8
"Baja California Sur","2008","M","15 - 19",8
"Campeche","2008","M","15 - 19",5
"Coahuila","2008","M","15 - 19",9
"Colima","2008","M","15 - 19",700
"Chiapas","2008","M","15 - 19",17
"Chihuahua","2008","M","15 - 19",20
"Distrito Federal","2008","M","15 - 19",29
"Durango","2008","M","15 - 19",391
"Guanajuato","2008","M","15 - 19",1649
"Guerrero","2008","M","15 - 19",2520
"Hidalgo","2008","M","15 - 19",10
"Jalisco","2008","M","15 - 19",3341
"México","2008","M","15 - 19",502
"Michoacán","2008","M","15 - 19",1901
"Morelos","2008","M","15 - 19",1823
"Nayarit","2008","M","15 - 19",1070
"Nuevo León","2008","M","15 - 19",9
"Oaxaca","2008","M","15 - 19",323
"Puebla","2008","M","15 - 19",946
"Querétaro","2008","M","15 - 19",215
"Quintana Roo","2008","M","15 - 19",4
"San Luis Potosí","2008","M","15 - 19",8
"Sinaloa","2008","M","15 - 19",461
"Sonora","2008","M","15 - 19",158
"Tabasco","2008","M","15 - 19",3
"Tamaulipas","2008","M","15 - 19",9
"Tlaxcala","2008","M","15 - 19",2
"Veracruz","2008","M","15 - 19",13
"Yucatán","2008","M","15 - 19",0
"Zacatecas","2008","M","15 - 19",234
"Aguascalientes","2008","M","20 - 24",100
"Baja California","2008","M","20 - 24",10
"Baja California Sur","2008","M","20 - 24",6
"Campeche","2008","M","20 - 24",4
"Coahuila","2008","M","20 - 24",6
"Colima","2008","M","20 - 24",659
"Chiapas","2008","M","20 - 24",14
"Chihuahua","2008","M","20 - 24",15
"Distrito Federal","2008","M","20 - 24",17
"Durango","2008","M","20 - 24",345
"Guanajuato","2008","M","20 - 24",1356
"Guerrero","2008","M","20 - 24",1569
"Hidalgo","2008","M","20 - 24",8
"Jalisco","2008","M","20 - 24",2655
"México","2008","M","20 - 24",311
"Michoacán","2008","M","20 - 24",1332
"Morelos","2008","M","20 - 24",1354
"Nayarit","2008","M","20 - 24",786
"Nuevo León","2008","M","20 - 24",6
"Oaxaca","2008","M","20 - 24",199
"Puebla","2008","M","20 - 24",616
"Querétaro","2008","M","20 - 24",171
"Quintana Roo","2008","M","20 - 24",6
"San Luis Potosí","2008","M","20 - 24",8
"Sinaloa","2008","M","20 - 24",359
"Sonora","2008","M","20 - 24",132
"Tabasco","2008","M","20 - 24",2
"Tamaulipas","2008","M","20 - 24",14
"Tlaxcala","2008","M","20 - 24",3
"Veracruz","2008","M","20 - 24",7
"Yucatán","2008","M","20 - 24",2
"Zacatecas","2008","M","20 - 24",200
"Aguascalientes","2008","M","25 - 44",204
"Baja California","2008","M","25 - 44",27
"Baja California Sur","2008","M","25 - 44",15
"Campeche","2008","M","25 - 44",14
"Coahuila","2008","M","25 - 44",23
"Colima","2008","M","25 - 44",1708
"Chiapas","2008","M","25 - 44",40
"Chihuahua","2008","M","25 - 44",43
"Distrito Federal","2008","M","25 - 44",65
"Durango","2008","M","25 - 44",783
"Guanajuato","2008","M","25 - 44",3216
"Guerrero","2008","M","25 - 44",3984
"Hidalgo","2008","M","25 - 44",32
"Jalisco","2008","M","25 - 44",6896
"México","2008","M","25 - 44",729
"Michoacán","2008","M","25 - 44",3345
"Morelos","2008","M","25 - 44",3402
"Nayarit","2008","M","25 - 44",2291
"Nuevo León","2008","M","25 - 44",42
"Oaxaca","2008","M","25 - 44",466
"Puebla","2008","M","25 - 44",1407
"Querétaro","2008","M","25 - 44",602
"Quintana Roo","2008","M","25 - 44",4
"San Luis Potosí","2008","M","25 - 44",30
"Sinaloa","2008","M","25 - 44",947
"Sonora","2008","M","25 - 44",361
"Tabasco","2008","M","25 - 44",7
"Tamaulipas","2008","M","25 - 44",37
"Tlaxcala","2008","M","25 - 44",13
"Veracruz","2008","M","25 - 44",24
"Yucatán","2008","M","25 - 44",16
"Zacatecas","2008","M","25 - 44",446
"Aguascalientes","2008","M","45 - 49",42
"Baja California","2008","M","45 - 49",4
"Baja California Sur","2008","M","45 - 49",3
"Campeche","2008","M","45 - 49",4
"Coahuila","2008","M","45 - 49",3
"Colima","2008","M","45 - 49",300
"Chiapas","2008","M","45 - 49",14
"Chihuahua","2008","M","45 - 49",2
"Distrito Federal","2008","M","45 - 49",9
"Durango","2008","M","45 - 49",176
"Guanajuato","2008","M","45 - 49",495
"Guerrero","2008","M","45 - 49",771
"Hidalgo","2008","M","45 - 49",3
"Jalisco","2008","M","45 - 49",1200
"México","2008","M","45 - 49",152
"Michoacán","2008","M","45 - 49",591
"Morelos","2008","M","45 - 49",895
"Nayarit","2008","M","45 - 49",406
"Nuevo León","2008","M","45 - 49",6
"Oaxaca","2008","M","45 - 49",109
"Puebla","2008","M","45 - 49",355
"Querétaro","2008","M","45 - 49",68
"Quintana Roo","2008","M","45 - 49",2
"San Luis Potosí","2008","M","45 - 49",5
"Sinaloa","2008","M","45 - 49",206
"Sonora","2008","M","45 - 49",70
"Tabasco","2008","M","45 - 49",0
"Tamaulipas","2008","M","45 - 49",4
"Tlaxcala","2008","M","45 - 49",1
"Veracruz","2008","M","45 - 49",1
"Yucatán","2008","M","45 - 49",0
"Zacatecas","2008","M","45 - 49",102
"Aguascalientes","2008","M","50 - 59",60
"Baja California","2008","M","50 - 59",3
"Baja California Sur","2008","M","50 - 59",4
"Campeche","2008","M","50 - 59",6
"Coahuila","2008","M","50 - 59",5
"Colima","2008","M","50 - 59",428
"Chiapas","2008","M","50 - 59",18
"Chihuahua","2008","M","50 - 59",8
"Distrito Federal","2008","M","50 - 59",12
"Durango","2008","M","50 - 59",196
"Guanajuato","2008","M","50 - 59",694
"Guerrero","2008","M","50 - 59",1155
"Hidalgo","2008","M","50 - 59",8
"Jalisco","2008","M","50 - 59",1746
"México","2008","M","50 - 59",215
"Michoacán","2008","M","50 - 59",817
"Morelos","2008","M","50 - 59",1140
"Nayarit","2008","M","50 - 59",639
"Nuevo León","2008","M","50 - 59",6
"Oaxaca","2008","M","50 - 59",160
"Puebla","2008","M","50 - 59",510
"Querétaro","2008","M","50 - 59",97
"Quintana Roo","2008","M","50 - 59",2
"San Luis Potosí","2008","M","50 - 59",10
"Sinaloa","2008","M","50 - 59",272
"Sonora","2008","M","50 - 59",84
"Tabasco","2008","M","50 - 59",2
"Tamaulipas","2008","M","50 - 59",4
"Tlaxcala","2008","M","50 - 59",0
"Veracruz","2008","M","50 - 59",12
"Yucatán","2008","M","50 - 59",2
"Zacatecas","2008","M","50 - 59",125
"Aguascalientes","2008","M","60 - 64",28
"Baja California","2008","M","60 - 64",0
"Baja California Sur","2008","M","60 - 64",3
"Campeche","2008","M","60 - 64",1
"Coahuila","2008","M","60 - 64",1
"Colima","2008","M","60 - 64",156
"Chiapas","2008","M","60 - 64",6
"Chihuahua","2008","M","60 - 64",0
"Distrito Federal","2008","M","60 - 64",2
"Durango","2008","M","60 - 64",79
"Guanajuato","2008","M","60 - 64",402
"Guerrero","2008","M","60 - 64",485
"Hidalgo","2008","M","60 - 64",2
"Jalisco","2008","M","60 - 64",756
"México","2008","M","60 - 64",88
"Michoacán","2008","M","60 - 64",357
"Morelos","2008","M","60 - 64",484
"Nayarit","2008","M","60 - 64",257
"Nuevo León","2008","M","60 - 64",2
"Oaxaca","2008","M","60 - 64",85
"Puebla","2008","M","60 - 64",239
"Querétaro","2008","M","60 - 64",33
"Quintana Roo","2008","M","60 - 64",0
"San Luis Potosí","2008","M","60 - 64",8
"Sinaloa","2008","M","60 - 64",112
"Sonora","2008","M","60 - 64",37
"Tabasco","2008","M","60 - 64",0
"Tamaulipas","2008","M","60 - 64",2
"Tlaxcala","2008","M","60 - 64",0
"Veracruz","2008","M","60 - 64",1
"Yucatán","2008","M","60 - 64",0
"Zacatecas","2008","M","60 - 64",74
"Aguascalientes","2008","M","65 y +",82
"Baja California","2008","M","65 y +",1
"Baja California Sur","2008","M","65 y +",2
"Campeche","2008","M","65 y +",2
"Coahuila","2008","M","65 y +",2
"Colima","2008","M","65 y +",271
"Chiapas","2008","M","65 y +",12
"Chihuahua","2008","M","65 y +",10
"Distrito Federal","2008","M","65 y +",5
"Durango","2008","M","65 y +",147
